"fcl","measuredItemCPC","level","predictions","consumable","mainFoodPct","mainFood"
674,"01930.04",NA,0.810688875207409,TRUE,0,FALSE
677,"01659",0,0.0477723654223531,FALSE,0.16318407960199,FALSE
687,"01651",NA,0.810688875207409,TRUE,0,FALSE
689,"01652",NA,0.810688875207409,TRUE,0,FALSE
692,"01658",NA,0.810688875207409,TRUE,0,FALSE
693,"01655",NA,0.810688875207409,TRUE,0,FALSE
698,"01656",NA,0.810688875207409,TRUE,0,FALSE
702,"01653",NA,0.810688875207409,TRUE,0,FALSE
711,"01654",NA,0.810688875207409,TRUE,0,FALSE
720,"01657",NA,0.810688875207409,TRUE,0,FALSE
723,"01699",NA,0.810688875207409,TRUE,0,FALSE
737,"35410.01",NA,0.0477723654223531,FALSE,0,FALSE
748,"01930.01",NA,0.810688875207409,TRUE,0,FALSE
753,"35410.90",1,0.0477723654223531,FALSE,0.0600500417014178,FALSE
754,"01930.02",0,0.0477723654223531,FALSE,0.00671140939597315,FALSE
755,"23999.04",1,0.0477723654223531,FALSE,0.228346456692913,FALSE
756,"01930.03",1,0.0477723654223531,FALSE,1,FALSE
767,"01921.02",1,0.0477723654223531,FALSE,0.355518112889638,FALSE
768,"26160",NA,0.0477723654223531,FALSE,0,FALSE
769,"F0769",1,0.0477723654223531,FALSE,0.251336898395722,FALSE
770,"21800",2,0.0477723654223531,FALSE,0.566576086956522,FALSE
771,"01929.01",NA,0.0477723654223531,FALSE,0,FALSE
773,"26190.01",NA,0.0477723654223531,FALSE,0,FALSE
774,"26190.02",NA,0.0477723654223531,FALSE,0,FALSE
777,"01929.02",NA,0.0477723654223531,FALSE,0,FALSE
778,"01929.07",NA,0.0477723654223531,FALSE,0.823529411764706,FALSE
780,"01922.01",NA,0.0477723654223531,FALSE,0,FALSE
782,"01922.02",NA,0.0477723654223531,FALSE,0,FALSE
788,"01929.03",NA,0.0477723654223531,FALSE,0,FALSE
789,"01929.04",NA,0.0477723654223531,FALSE,0,FALSE
800,"01929.91",NA,0.0477723654223531,FALSE,0,FALSE
809,"01929.05",NA,0.0477723654223531,FALSE,0,FALSE
813,"01929.06",NA,0.0477723654223531,FALSE,0,FALSE
821,"01929.90",NA,0.0477723654223531,FALSE,0,FALSE
826,"01970",NA,0.0477723654223531,FALSE,0,FALSE
828,"25020.01",NA,0.0477723654223531,FALSE,0.0898075552387741,FALSE
829,"25020.02",NA,0.0477723654223531,FALSE,0.0122699386503067,FALSE
831,"25090",NA,0.0477723654223531,FALSE,0.0153102336825141,FALSE
836,"01950.01",0,0.0477723654223531,FALSE,0,FALSE
837,"01950.02",1,0.0477723654223531,FALSE,0.11545988258317,FALSE
839,"03211",NA,0.0477723654223531,FALSE,0,FALSE
840,"23319.01",NA,0.0477723654223531,FALSE,0,FALSE
841,"23319.02",NA,0.0477723654223531,FALSE,0,FALSE
842,"23319.03",NA,0.0477723654223531,FALSE,0,FALSE
843,"23311",NA,0.0477723654223531,FALSE,0,FALSE
845,"23319.04",NA,0.0477723654223531,FALSE,0,FALSE
846,"39130.04",2,0.0477723654223531,FALSE,0.24171270718232,FALSE
850,"23319.06",NA,0.0477723654223531,FALSE,0,FALSE
852,"23319.08",NA,0.0477723654223531,FALSE,0,FALSE
853,"23319.09",NA,0.0477723654223531,FALSE,0,FALSE
854,"23319.10",NA,0.0477723654223531,FALSE,0,FALSE
855,"23319.11",NA,0.0477723654223531,FALSE,0,FALSE
857,"01919.03",NA,0.0477723654223531,FALSE,0,FALSE
858,"01919.14",NA,0.0477723654223531,FALSE,0,FALSE
859,"01919.91",NA,0.0477723654223531,FALSE,0,FALSE
860,NA,NA,NA,NA,0,FALSE
861,NA,NA,NA,NA,0,FALSE
862,"23320",NA,0.0477723654223531,FALSE,0,FALSE
866,"02111",0,0.0477723654223531,FALSE,0,FALSE
867,"21111.01",1,0.810688875207409,TRUE,0.917273328921244,TRUE
868,"21151",1,0.810688875207409,TRUE,0.888074616922052,TRUE
869,"21512",1,0.810688875207409,TRUE,0.974622770919067,TRUE
870,"21111.02",2,0.810688875207409,TRUE,0.307757885763001,FALSE
871,"21512.01",2,0.0477723654223531,FALSE,0.970654627539503,FALSE
872,"21182",2,0.810688875207409,TRUE,0.397216274089936,FALSE
873,"21185",2,0.810688875207409,TRUE,0.2907133243607,FALSE
874,"21184.01",2,0.810688875207409,TRUE,0.216814159292035,FALSE
875,"F0875",2,0.810688875207409,TRUE,0.25,FALSE
877,"23991.04",2,0.810688875207409,TRUE,0.247374562427071,FALSE
878,"21189.04",2,0.810688875207409,TRUE,0.149367088607595,FALSE
882,"02211",0,0.810688875207409,TRUE,0.590817015530047,TRUE
885,"22120",1,0.810688875207409,TRUE,0.2325,FALSE
886,"22241.01",1,0.810688875207409,TRUE,0.309192200557103,FALSE
887,"22241.02",1,0.810688875207409,TRUE,0.125333333333333,FALSE
888,"22110.02",1,0.810688875207409,TRUE,0.398455598455598,FALSE
889,"22222.01",1,0.810688875207409,TRUE,0.148418491484185,FALSE
890,"22130.01",2,0.810688875207409,TRUE,0.281553398058252,FALSE
891,"22230.01",NA,0.810688875207409,TRUE,0.0429042904290429,FALSE
892,"22230.02",1,0.810688875207409,TRUE,0.100980392156863,FALSE
893,"22230.03",1,0.810688875207409,TRUE,0.0849220103986135,FALSE
894,"22221.01",1,0.810688875207409,TRUE,0.183767228177642,FALSE
895,"22221.02",NA,0.810688875207409,TRUE,0.415584415584416,FALSE
896,"22222.02",NA,0.810688875207409,TRUE,0.330434782608696,FALSE
897,"22211",1,0.810688875207409,TRUE,0.159090909090909,FALSE
