FAOCode,FAOName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23,Belize,517.470112,530.8202645,562.8302894,598.8984567,613.651892,639.2143997,649.3028673,672.6246401,697.4909012,758.4467048,856.7507723,899.7218188,945.7993589,1034.009033,1082.070711,1114.222546,1166.562483,1180.682087,1211.553194,1220.194564,1260.752287,1287.27791,1336.513043,1356.903887,1409.336155,1425.904876,1469.197897
25,Solomon Islands,307.4665123,315.3095116,351.1391979,357.0850422,385.9372416,424.5001153,431.3291243,423.8821424,437.4190304,430.633486,369.4260608,339.9982112,330.6284397,352.0685176,380.5752971,429.4760336,446.6528369,520.6473724,539.9363071,541.1951933,598.7822448,637.1502998,653.9634249,673.716104,687.0515329,709.3807077,738.808742
26,Brunei Darussalam,7638.528419,7878.832014,8253.752556,8278.891351,8539.295318,8921.745334,9178.541573,9043.297301,8992.626829,9267.168658,9531.546371,9793.184715,10172.36252,10467.69782,10520.47975,10561.29251,11025.70304,11042.47773,10828.74047,10637.48247,10913.95899,11322.62197,11426.01283,11183.23483,10920.5808,10860.43634,10774.02365
27,Bulgaria,28027.17365,25660.17927,23799.25802,23446.94766,23873.24296,24556.0728,22248.5068,22006.26404,22768.3001,21399.95062,22472.29131,23426.91995,24836.7806,26097.87367,27808.73715,29821.03104,31834.88519,34278.32427,36214.0231,34685.89017,34704.81409,35254.52931,35338.10859,35791.10253,36345.4543,37424.29567,38510.58081
28,Myanmar,3293.543469,3272.115122,3588.232386,3804.940469,4089.472219,4373.610788,4655.390273,4918.493676,5162.134635,5727.136963,6514.385232,7253.382985,8125.639908,9250.553095,10505.35946,11930.82861,13490.91601,15108.67098,16658.11102,18415.54297,20286.12138,21420.41628,22991.10482,24928.33554,26920.4195,28884.00347,30990.81188
29,Burundi,1190.589842,1254.089951,1276.735347,1187.000058,1150.386126,1069.615997,977.5464186,981.2571016,1025.311,1015.062447,1005.920589,1027.050092,1073.26158,1060.381139,1107.039025,1117.11308,1177.591428,1217.824978,1277.498137,1325.881781,1393.400967,1449.635701,1513.759491,1587.915554,1662.547585,1594.383134,1629.07692
32,Cameroon,11706.33899,11265.7071,10922.0855,10577.15472,10564.29635,10992.56798,11546.1738,12159.75577,12755.01954,13273.164,13827.13025,14451.32439,15030.68443,15636.57031,16215.41333,16587.85751,17122.65053,17680.10658,18190.00903,18541.41283,19147.46651,19940.28495,20855.29252,22015.19885,23320.03197,24666.25355,25966.16287
33,Canada,777846.2677,761311.65,768033.8494,788426.9597,823854.725,845915.1525,859543.2519,896330.0909,931123.4661,979199.3344,1029948.203,1048186.723,1079737.314,1099197.131,1133117.928,1169393.363,1200071.376,1224825.821,1237078.501,1200589.786,1237610.143,1276486.188,1298766.9,1330911.405,1365053.266,1377907.643,1407551.287
35,Cabo Verde,441.8103227,448.0251645,461.660713,495.4249283,529.7456966,569.4511152,607.5564438,653.9636881,708.9854452,793.0840819,850.7080489,902.9172654,950.614043,995.1333667,1037.7251,1105.394035,1217.500487,1322.807051,1410.777422,1392.854539,1413.284791,1469.376459,1485.273912,1497.197654,1525.123094,1547.29908,1592.049611
36,Cayman Islands,1490.806712,1510.862408,1557.32477,1631.865105,1718.438858,1801.001473,1890.917841,1994.873196,2598.883898,2686.855804,2713.159278,2728.26175,2775.331125,2830.832713,2856.255209,3041.763919,3181.713503,3282.338605,3270.607089,3035.10702,2952.686103,2987.20206,3023.938559,3062.284554,3147.232465,3170.681013,3203.676774
37,Central African Republic,1185.268077,1199.2524,1183.292902,1179.170471,1240.209378,1304.117784,1205.680895,1279.478094,1337.728102,1417.16374,1444.400021,1453.506577,1444.640419,1342.768864,1379.938958,1412.805702,1479.969948,1539.631176,1579.861017,1609.984587,1667.368596,1701.388851,1750.704299,1108.195821,1119.721456,1173.468086,1184.264109
38,Sri Lanka,13757.84988,14421.10925,15052.6035,16093.58229,17002.74011,17942.88409,18617.0492,19817.07002,20758.25264,21645.58923,22939.80869,22625.67352,23535.26399,24933.322,26290.95666,27931.97194,30073.87708,32117.94621,34028.99232,35233.25131,38057.53132,41256.16717,45028.87013,46557.92573,48829.29588,51166.26438,53638.28742
39,Chad,2621.848301,2721.426016,2784.010699,2735.273594,2891.499037,2931.938993,2994.650723,3163.618712,3382.465385,3365.541316,3348.636497,3734.32077,4052.240008,4631.261005,6190.701803,6680.615783,6572.690782,7739.491106,7840.126567,8554.630381,9700.248384,9467.442422,10423.65411,11195.00451,13781.05055,14690.59989,16048.00935
40,Chile,53067.802,57297.25305,64332.22324,68826.64223,72755.34894,80487.47983,86454.42416,92165.23999,95142.98711,94419.08711,98657.63124,101989.3381,104216.8979,108298.983,115897.3829,123056.0324,130063.256,136775.5938,141278.8691,139814.61,147859.1357,156493.5778,165033.6367,171596.358,174816.1842,178846.6885,185372.6821
41,"China, Mainland",537244.533,587208.2746,670591.8495,763804.1166,863098.6518,958039.5035,1052885.414,1149750.872,1239431.441,1334867.661,1448331.413,1568542.92,1711280.326,1882408.358,2072531.602,2308800.205,2602017.831,2971504.363,3259740.286,3566155.873,3944168.396,4318864.393,4660054.68,5023538.945,5390257.289,5762185.041,6228182.249
44,Colombia,94459.75223,96350.46581,100247.7742,105972.0857,111426.8358,117223.7474,119633.6974,123737.4845,124442.521,119210.9385,122697.6933,124756.4358,127880.3126,132891.011,139978.1179,146566.2663,156382.5644,167173.9428,173103.2764,175962.1623,182951.0287,195006.6078,202892.5654,212781.6821,222113.6715,228962.0712,237162.3956
45,Comoros,576.4579421,586.7242264,636.7772209,655.918346,621.3076205,643.7368255,635.1107521,661.9124258,669.5244187,682.3792876,698.7189513,714.7894872,731.2296454,746.5854679,760.7705918,782.0721684,868.8821791,875.8332365,908.7751937,941.2670255,934.6423415,972.6430466,1013.615213,1109.515049,1150.81281,1206.489553,1246.346785
46,Congo,4330.404931,4434.134041,4549.951319,4505.37621,4257.892482,4427.583309,4710.594025,4595.798514,4761.172245,4637.28402,4988.49009,5178.533174,5415.847637,5459.606322,5654.531373,6086.924578,6466.799374,6363.763047,6741.08269,7246.714151,7878.211354,8145.537138,8457.417221,8734.119866,9331.766596,9443.747795,9732.266034
47,Cook Islands,121.7213723,130.4018765,138.1914898,143.5719731,149.1967654,142.6685973,142.2788121,138.9375377,137.8651761,141.5617887,161.2024253,167.7900435,173.2262268,180.6853455,184.662561,182.5575771,191.6928082,191.3066381,184.5838933,186.5444069,180.9857939,182.7724909,191.330108,188.6374894,200.2450646,211.1701188,216.3512938
48,Costa Rica,9952.209008,10177.36107,11108.79438,11932.36225,12496.71183,12986.69067,13101.83324,13832.678,14994.32503,16227.18689,16519.4111,17096.01611,17658.77476,18410.23983,19208.61365,19952.15476,21396.2384,23143.86093,24219.95748,23984.89109,25172.59024,26256.79929,27516.31692,28079.77421,28911.49918,29969.63879,31160.41125
49,Cuba,38540.89441,34419.8332,30433.80897,25905.81197,26091.53852,26732.66007,28828.16647,29628.1961,29676.08808,31513.27102,33377.43701,34440.52208,34931.47324,36256.56247,38348.62418,42643.6,47789.65129,51259.4834,53370.46828,54144.79977,55439.05124,56992.62023,58710.89091,60324.03285,60955.97332,63661.28595,66092.3955
50,Cyprus,10041.65911,10112.53913,11059.22426,11136.90099,11782.5888,12951.8867,13124.52588,13461.24905,14165.9547,14850.04018,15700.07424,16265.37431,16818.28033,17234.6325,18022.36729,18693.51031,19536.63442,20478.47215,21269.71676,20892.63068,21168.04172,21236.04444,20565.44983,19341.18142,19045.04052,19364.87269,19249.41577
52,Azerbaijan,12142.99132,12057.99039,9332.884513,7176.955469,5766.342541,5084.977372,5148.795769,5447.740355,5990.67219,6433.762755,7147.545912,7855.316719,8596.773493,9474.357922,10351.09618,13245.42188,17810.61672,22345.77251,24712.51099,27027.95039,28276.79207,27820.60047,28405.19842,30071.20208,30870.09266,31075.28897,31281.84924
53,Benin,2430.507709,2533.21609,2608.141296,2760.356911,2816.127174,3101.451977,3235.815714,3421.377947,3556.899143,3746.88911,3966.371522,4177.903612,4371.885426,4522.43461,4722.76388,4803.672097,4993.117209,5292.021697,5551.150137,5679.897904,5799.9738,5971.87102,6249.228275,6679.074817,7115.917691,7488.863512,7806.857796
54,Denmark,190182.1507,192832.6357,196606.3927,196627.3498,207112.4023,213383.0079,219571.261,226731.2159,231760.4813,238592.7967,247532.6307,249570.1939,250734.0518,251712.0998,258428.2656,264466.8671,274815.4031,277314.1704,275894.2519,262357.4299,267266.1181,270838.8639,271452.2285,273985.826,278577.6484,283051.8454,288242.4517
55,Dominica,286.075507,291.2092157,299.1716063,298.3950662,302.6660364,308.642849,319.4825844,327.4516677,337.8012918,339.96542,342.1295479,343.2890879,336.2946983,362.0702559,371.615633,370.4148148,387.3388431,410.4170632,442.5014182,437.5105185,442.6515205,443.439557,438.3736065,455.3857869,474.4526216,466.0920784,474.3259691
56,Dominican Republic,16598.06691,16725.3771,18483.73288,19818.75746,20275.2207,21389.09401,22914.41437,24748.54698,26483.5816,28262.03342,29860.70498,30400.96721,32160.62388,32079.12856,32500.00705,35510.40148,39299.77141,42630.29312,43970.46653,44381.93393,48066.5899,49422.49288,50722.0604,53145.42954,57046.77088,61013.41177,64369.62871
57,Belarus,23817.71056,23487.673,21222.50133,19617.90117,17325.84094,15515.66974,15946.45679,17767.76354,19268.14936,19932.63275,21086.25273,22085.81009,23182.71216,24801.83813,27617.47296,30210.09184,33238.20143,36080.9301,39777.34484,39837.36387,42921.08776,45300.53952,46091.23735,46556.28292,47369.47442,45502.63302,44854.54151
58,Ecuador,26804.26301,27954.52572,28545.57124,29108.83761,30348.36482,31031.97654,31569.37203,32935.65175,34011.5045,32399.56809,32753.30708,34068.55867,35464.27143,36429.92004,39421.1884,41507.085,43334.86046,44283.92163,47099.10836,47365.92085,49035.71102,52893.90987,55878.1642,58642.18389,60983.59535,61079.79315,62587.31698
59,Egypt,48644.45502,51242.70841,54657.22335,56232.89169,58452.97301,61117.0706,64244.83119,67772.59936,70499.81565,74807.28812,78834.39256,81612.58486,84212.36114,86834.96832,90413.27134,94456.32181,100920.7596,108073.8489,115807.92,121220.3187,127459.8132,129708.9333,132596.5133,135392.4495,138410.0642,144229.1781,150292.9424
60,El Salvador,9701.920463,10048.90118,10806.92371,11603.34248,12305.38734,13092.51018,13315.8146,13881.2497,14401.61973,14898.34577,15219.05539,15479.13936,15841.45837,16205.85886,16505.76653,17093.79409,17762.5352,18444.63222,18679.49998,18094.26859,18341.32008,18747.88974,19100.55916,19453.27305,19730.56258,20215.06245,20711.37539
61,Equatorial Guinea,420.1758335,421.5303291,477.5838735,522.8691776,571.9133207,638.8472178,859.8994497,1679.058196,1975.962851,2434.412626,2753.081147,4620.158307,5551.947189,6306.583666,7823.394928,8519.677076,8971.219961,10342.21202,12183.03362,12346.69517,11244.85608,11978.46179,12974.21242,12437.96468,12375.8925,11455.51048,11589.69191
63,Estonia,10589.50929,9742.365108,7680.037332,7239.165232,7094.975597,7397.616121,7791.453681,8710.737574,9069.381065,8991.706625,9941.95686,10571.15455,11213.49963,12045.11108,12803.32028,14003.46653,15441.88642,16638.35351,15736.64531,13419.518,13748.17223,14792.70261,15429.82784,15648.24409,16089.93442,16322.36369,16452.23753
66,Fiji,2148.410593,2091.001882,2172.698893,2210.235358,2322.957359,2381.031278,2495.32078,2440.423721,2472.149286,2689.69839,2643.973538,2696.852978,2783.152289,2810.983783,2959.965952,2980.685713,3035.902393,3008.822986,3039.215138,2997.253587,3089.952152,3175.695942,3220.155686,3371.503003,3560.307171,3688.478229,3788.241427
67,Finland,143591.887,135099.2513,130607.7019,129648.397,134755.5857,140424.9293,145562.843,154663.1523,163059.0609,170305.6245,179902.0867,184544.9855,187645.9412,191387.5714,198901.5569,204430.9307,212721.0086,223750.1692,225362.6661,206727.3449,212913.3247,218386.9383,215272.327,213640.4846,212126.9906,212573.0731,216322.3922
68,France,1650028.433,1667173.966,1693843.268,1683465.89,1722949.656,1758874.613,1783287.863,1824969.246,1889868.826,1954258.53,2029989.219,2069664.332,2092812.635,2109963.898,2168756.44,2203623.837,2255958.733,2309233.173,2313742.985,2245687.913,2289830.443,2337441.265,2341711.608,2355205.523,2370199.271,2400399.884,2430985.307
70,French Polynesia,4127.045089,4365.046365,4383.980445,4409.650069,4413.42071,4435.472216,4473.325746,4550.458594,4708.820073,4886.813472,5136.52964,5208.756033,5319.298227,5502.720717,5623.780572,5702.783146,5753.514199,5851.613523,5852.00275,5604.381399,5466.187604,5304.27134,5255.072223,5487.728501,5633.616753,5724.980587,5775.676182
72,Djibouti,543.4939066,526.391925,557.2533985,584.2195396,570.0638215,601.9961767,571.3488796,597.6524126,596.5453886,609.5441495,617.4525765,629.801628,646.1764704,666.8541174,686.8597409,708.6331947,798.6296105,838.561091,883.8433899,928.0355594,960.516804,1003.74006,1051.919583,1104.515562,1170.786496,1246.887618,1317.04326
73,Georgia,12375.32695,9735.257202,5402.812897,3820.292668,3423.70285,3511.950751,3908.312431,4319.427477,4453.544518,4581.326991,4665.547534,4889.748168,5157.40513,5727.716199,6059.693458,6410.91205,6782.4872,7175.59877,7591.495006,8031.496503,8497.000396,8989.4848,9510.513499,10061.74092,10644.91736,11261.89459,11914.6317
74,Gabon,7865.920793,8346.725039,8088.79983,8281.899697,8735.574669,9170.04937,9502.488345,10047.77604,10344.94799,9246.533183,9124.860895,9339.612091,9171.92437,9400.605643,9475.285476,9578.972813,9279.765074,9867.382083,9526.517774,9478.885185,10123.44938,10842.21428,11416.85164,12056.19533,12659.0051,13147.22289,13585.26258
75,Gambia,389.1157358,400.3192587,414.3806426,426.8622064,427.5210522,431.2911388,449.6145568,451.5019187,468.0025468,500.0418311,530.717639,561.4155734,563.9822601,576.9715796,630.1070684,624.1725118,631.1873969,654.1063135,691.6169161,736.2257848,784.2605276,750.3135592,794.2988826,832.288371,839.5705764,879.169783,908.4280992
79,Germany,2286945.104,2403768.241,2450012.102,2426585.937,2486216.176,2529417.678,2550105.725,2597262.297,2648678.18,2701310.99,2781325.047,2828481.619,2828481.619,2808402.053,2841259.526,2861339.104,2967213.216,3063960.251,3097121.964,2923099.004,3042359.493,3153709.856,3169225.882,3184741.92,3235549.321,3291224.502,3354058.284
80,Bosnia and Herzegovina,2869.781094,2601.513253,2434.056217,2380.960994,2646.00875,3196.378584,4928.793425,6734.758973,7853.831716,8601.639825,9067.359856,9311.176386,9780.554874,10161.8426,10803.51245,11224.98115,11828.71229,12506.35025,13191.8853,12813.29423,12911.60355,13028.87214,12907.28938,13216.31377,13359.29793,13769.88346,14193.08794
81,Ghana,8718.811976,9179.324466,9535.428939,9997.897243,10324.74909,10740.15559,11233.78967,11705.41159,12254.83431,12797.54018,13335.74773,13941.06424,14609.34903,15372.56312,16195.45654,17198.88726,17982.14461,18763.4169,20480.15871,21472.34665,23168.60478,26423.1273,28878.57289,30990.32578,32225.55847,33476.73518,35552.53413
83,Kiribati,82.20865213,87.37816865,87.54117948,88.04833959,89.20515735,88.6332731,91.29930977,93.45185233,100.238382,97.47362984,109.2085904,104.0104711,104.3156471,108.6765744,106.8455815,112.1362148,110.3632851,112.7936864,110.7098852,111.0305812,109.2456075,109.7664853,115.4609817,122.1371255,125.0788641,129.7067821,131.6729504
84,Greece,160922.9166,165911.527,167072.9077,164399.7411,167687.736,171208.7085,176108.9224,184005.9972,191172.8556,197046.8264,204770.6102,213230.9374,221595.7138,234436.1468,246301.1453,247776.8391,261782.2606,270352.3492,269446.2023,257858.0388,243730.941,221472.2262,205303.6574,198648.8932,199349.8224,198912.9548,196516.4734
85,Greenland,1280.849639,1279.39633,1213.997426,1152.95845,1221.263971,1266.800986,1286.178439,1305.071455,1406.318647,1425.6961,1526.943291,1546.320744,1531.303218,1525.489982,1590.503761,1649.849673,1738.535135,1797.547643,1834.722188,1822.052836,1868.22929,1909.404683,1899.769308,1874.497285,1843.874128,1848.556538,1885.088598
86,Grenada,391.8118216,400.8113533,399.6232577,389.0745426,399.7873458,408.3007223,426.4220552,447.8092573,500.4425071,534.9648455,561.1147833,549.7776907,568.6371939,622.4705583,618.4419688,700.5111111,678.4679527,713.7377192,720.5114538,672.5605431,669.4232344,674.5570122,665.9294134,680.4038147,696.9103364,740.357909,766.0588645
89,Guatemala,15661.35087,16234.28205,17019.75221,17688.32592,18401.71764,19313.32507,19881.63583,20736.41218,21725.1805,22625.69893,23442.12585,23988.72067,24916.27461,25546.85359,26352.11129,27211.21967,28675.12255,30482.81826,31482.98364,31648.59756,32556.75027,33911.77816,34918.90962,36210.06619,37721.5356,39286.52034,40846.1886
90,Guinea,2405.463497,2440.458713,2520.322779,2647.561172,2753.481174,2882.345395,3010.943399,3166.958547,3282.366356,3407.490294,3492.781839,3622.014768,3810.359535,3856.08385,3944.773778,4063.116992,4101.737927,4369.079627,4549.805948,4480.204303,4669.021072,4931.127777,5254.626701,5484.371616,5543.581171,5551.631171,5771.872397
91,Guyana,787.8455434,834.9950262,900.3872165,974.3435638,1057.38988,1110.114655,1197.630175,1272.205987,1250.469494,1287.60695,1269.880111,1298.452404,1312.099149,1298.909203,1341.694296,1315.43853,1382.91672,1479.720891,1509.315308,1559.122714,1627.724113,1715.621215,1797.971033,1891.465527,1963.341217,2024.204795,2063.301071
93,Haiti,4271.233595,4351.625912,4120.511163,3896.728738,3431.316007,3770.732179,3926.947516,4033.160256,4121.157234,4232.850856,4269.65969,4225.136675,4214.412153,4229.686472,4080.843106,4154.289832,4247.885661,4389.90433,4426.952679,4563.446595,4312.557778,4550.77216,4682.066308,4880.957443,5017.451359,5100.322665,5167.964124
95,Honduras,5625.211319,5808.14502,6134.812344,6517.013114,6432.079609,6694.50236,6934.058397,7280.325761,7491.57063,7350.01479,7772.504529,7984.150399,8283.920311,8660.628839,9200.346757,9757.044729,10397.76846,11041.26147,11508.54088,11228.69794,11647.66071,12094.31628,12593.66102,12945.21372,13344.62392,13829.73603,14349.89772
96,"China, Hong Kong SAR",100205.7381,105919.3491,112523.3786,119501.0365,126714.2188,129722.0479,135246.2058,142143.3763,133781.6002,137135.239,147644.4435,148472.4075,150932.1091,155545.0668,169077.6041,181569.304,194338.3112,206901.8119,211304.5349,206108.264,220057.0924,230652.0621,234573.7303,241817.4802,248302.8679,254353.492,260551.5573
97,Hungary,88595.72741,78241.88883,75844.41625,75407.47011,77629.8448,78786.16111,78790.56029,81395.26762,84829.28112,87548.01648,91227.07652,94670.07879,98933.13291,102720.0431,107861.5811,112589.0396,116930.1868,117454.4411,118498.8514,110721.0201,111470.7101,113409.6577,111592.2538,113954.8257,118566.9435,122299.5303,125633.6628
98,Croatia,42544.51441,33572.45869,29640.0471,27261.2117,28861.61891,30833.96425,32645.05738,34814.48012,35462.68499,35130.92927,36454.47982,37706.48632,39684.74703,41890.38115,43600.69185,45416.09349,47589.37122,50040.22225,51067.73241,47297.00158,46492.3579,46361.60012,45347.46904,44865.0003,44644.37311,45377.18929,45865.65972
99,Iceland,10494.14755,10470.69045,10117.42044,10250.30764,10620.22668,10632.60814,11141.38508,11688.78245,12456.40266,12955.13509,13561.50202,14081.41523,14125.72971,14470.41732,15642.48855,16691.22231,17525.89378,19164.57699,19455.75697,18104.76064,17460.25563,17807.21374,18024.02286,18818.84146,19181.39141,19981.2591,21027.70569
100,India,340414.8153,341855.894,360385.8707,378242.7772,406473.4178,437551.3785,469906.8472,490950.0739,520345.0871,557438.6055,579905.6663,610158.7664,633142.0161,686141.5614,743066.1363,812058.8783,887287.7266,974253.9939,1012161.798,1097990.959,1210644.425,1291011.281,1363547.561,1454070.93,1559396.147,1677339.035,1797711.009
101,Indonesia,159806.8105,174074.2893,186643.3165,200181.7602,215275.3979,232971.345,251185.0832,262989.8679,228468.4452,230275.554,241605.6464,250408.467,261675.5344,274184.5908,287978.472,304371.8518,321115.2007,341490.0315,362026.2298,378783.9577,402358.9188,427183.5959,452942.9831,478114.219,502134.1469,526206.0628,553002.2573
102,Iran (Islamic Republic of),122598.6867,138188.5177,142745.95,140646.1407,138257.5668,141577.1926,150568.089,152601.3594,155775.4856,158895.1954,168183.4577,172206.6965,186118.9815,202198.3557,210967.023,219845.9718,232386.5398,253571.2857,255913.513,261837.1703,279059.1812,289523.0368,270389.3647,265220.8024,276740.1135,277791.7856,282617.1337
103,Iraq,24473.50567,8291.644375,10417.14088,15476.96143,14762.26468,12059.20024,18045.22128,21994.06608,29660.55861,34875.55693,35366.07285,36181.37293,33684.79299,22534.67724,34739.21437,36267.95421,39952.12539,40502.5053,43179.25847,45687.52979,48218.00751,53143.03785,59847.78521,75414.07073,74932.47223,73104.41807,74671.36786
